Deficit thresholds,Original,MaxPTE,Random,MaxOut,MinOut,MaxBetweeness,MaxClustering
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.3,0.0,0.55,0.0,2.1967336683417087
10,0.3,0.0,1.15,0.3,2.0477386934673367,0.7494974874371859,6.892713567839197
15,0.5,0.1,2.4984924623115576,0.5,3.1957286432160807,1.6969849246231157,10.939195979899498
20,1.649497487437186,0.39949748743718594,5.646482412060301,1.899497487437186,4.994723618090452,3.843969849246231,13.186934673366835
25,3.047989949748744,0.7979899497487437,8.843969849246232,3.3979899497487436,8.390452261306532,7.093718592964825,15.9356783919598
30,6.746231155778895,1.3464824120603016,13.987437185929647,7.545226130653266,13.181909547738694,12.289447236180905,20.281909547738692
35,9.995226130653267,2.294974874371859,18.334170854271356,11.143969849246231,17.077638190954776,17.83291457286432,23.277386934673366
40,15.943969849246233,3.8934673366834174,25.181909547738694,17.542713567839193,21.368844221105526,26.37964824120603,27.520100502512566
45,23.041206030150754,6.138442211055276,30.624874371859296,24.9891959798995,27.84673366834171,34.17110552763819,31.71105527638191
50,29.838442211055273,10.30175879396985,36.21733668341709,32.63618090452262,33.68316582914573,41.41984924623115,36.29572864321608
55,36.63517587939698,16.344723618090452,41.36030150753769,40.43266331658292,39.73693467336683,47.62361809045226,41.14949748743719
60,41.82286432160804,21.47964824120603,45.901256281407036,46.76633165829146,45.323366834170855,51.67060301507538,46.58492462311558
65,46.04045226130653,26.9178391959799,50.44974874371859,52.58592964824121,49.67160804020101,55.82989949748744,51.1713567839196
70,49.03969849246231,33.5035175879397,54.54070351758794,57.63140703517588,54.89572864321608,59.179145728643206,56.43894472361809
75,53.23316582914573,39.52412060301508,58.91457286432161,63.48316582914573,60.42688442211055,63.13040201005025,59.94698492462312
80,55.940201005025116,44.90804020100502,62.91984924623116,67.4821608040201,65.83417085427136,66.62889447236181,64.58090452261305
85,58.64145728643216,51.94773869346734,66.18241206030152,71.48090452261306,70.44798994974875,70.07437185929648,69.1035175879397
90,61.54246231155779,56.52010050251256,69.31984924623116,74.93668341708543,74.2572864321608,73.71834170854271,72.7281407035176
95,65.9391959798995,61.29723618090452,73.05603015075377,78.58467336683417,77.26381909547739,77.46934673366835,76.628391959799
100,95.98844221105527,98.38442211055276,96.54422110552764,96.39874371859297,97.41155778894472,96.2680904522613,97.47763819095478
